iteration,owner_loss,other_loss,u1,u2,u3
15,0.75,0.72,9698.0,8941.0,7750.0
15,0.75,0.73,9985.0,8588.0,8167.0
15,0.75,0.74,10432.0,8869.0,8808.0
15,0.75,0.75,10907.0,8973.0,8322.0
15,0.75,0.76,9791.0,9458.0,9141.0
15,0.75,0.77,10156.0,9003.0,9173.0
15,0.75,0.78,11182.0,7727.0,8357.0
15,0.75,0.79,10547.0,8333.0,10331.0
15,0.75,0.8,10769.0,8934.0,8562.0
15,0.75,0.81,10494.0,9772.0,9301.0
15,0.75,0.8200000000000001,11076.0,8956.0,9556.0
15,0.75,0.8300000000000001,11478.0,8808.0,9685.0
15,0.75,0.8400000000000001,10327.0,10075.0,10144.0
15,0.75,0.8500000000000001,12668.0,8256.0,9194.0
15,0.75,0.8600000000000001,11170.0,10259.0,10751.0
15,0.75,0.8700000000000001,11874.0,9055.0,11401.0
15,0.75,0.88,11601.0,10409.0,10739.0
15,0.75,0.89,11988.0,10701.0,11669.0
15,0.75,0.9,12280.0,9298.0,12197.0
16,0.76,0.6,11300.0,7388.0,5886.0
16,0.76,0.61,9591.0,7981.0,7952.0
16,0.76,0.62,9917.0,8006.0,6841.0
16,0.76,0.63,10503.0,7435.0,7274.0
16,0.76,0.64,9279.0,9185.0,7399.0
16,0.76,0.65,10164.0,8059.0,7091.0
16,0.76,0.66,9383.0,7591.0,7843.0
16,0.76,0.6699999999999999,10669.0,8689.0,7354.0
16,0.76,0.6799999999999999,9989.0,7897.0,8330.0
16,0.76,0.69,9314.0,8983.0,7127.0
16,0.76,0.7,10345.0,8349.0,8398.0
16,0.76,0.71,9954.0,7898.0,8412.0
16,0.76,0.72,9814.0,9298.0,8657.0
16,0.76,0.73,10459.0,9114.0,7827.0
16,0.76,0.74,10107.0,7945.0,9420.0
16,0.76,0.75,10605.0,8912.0,8598.0
16,0.76,0.76,10587.0,8989.0,9012.0
16,0.76,0.77,9665.0,9353.0,9481.0
